klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
2,2021,1,1,1545,00_01,0,0
1,2022,1,1,1545,11_12,0,1
12,2022,1,1,1545,23_24,0,0
1,2023,1,1,1545,10_11,0,1
1,2016,2,1,1545,12_13,1,0
1,2016,2,1,1545,14_15,1,0
1,2016,2,1,1545,17_18,1,0
1,2016,2,1,1545,18_19,1,0
1,2016,2,1,1545,19_20,1,0
1,2016,2,1,1545,21_22,0,0
2,2016,2,1,1545,15_16,1,0
4,2016,2,1,1545,08_09,0,0
10,2016,2,1,1545,08_09,0,1
11,2016,2,1,1545,9_10 ,0,0
13,2016,2,1,1545,20_21,0,1
15,2016,2,1,1545,10_11,0,1
15,2016,2,1,1545,12_13,0,0
24,2016,2,1,1545,11_12,0,0
25,2016,2,1,1545,9_10 ,0,1
26,2016,2,1,1545,10_11,0,0
31,2016,2,1,1545,13_14,0,1
39,2016,2,1,1545,15_16,0,1
41,2016,2,1,1545,14_15,0,0
43,2016,2,1,1545,14_15,0,1
43,2016,2,1,1545,17_18,0,1
44,2016,2,1,1545,11_12,0,1
44,2016,2,1,1545,20_21,0,0
46,2016,2,1,1545,12_13,0,1
64,2016,2,1,1545,18_19,0,1
66,2016,2,1,1545,15_16,0,0
69,2016,2,1,1545,16_17,0,0
72,2016,2,1,1545,13_14,0,0
98,2016,2,1,1545,16_17,0,1
104,2016,2,1,1545,19_20,0,1
127,2016,2,1,1545,18_19,0,0
158,2016,2,1,1545,17_18,0,0
231,2016,2,1,1545,19_20,0,0
1,2017,2,1,1545,14_15,1,0
1,2017,2,1,1545,18_19,1,0
1,2017,2,1,1545,18_19,1,1
1,2017,2,1,1545,21_22,0,1
13,2017,2,1,1545,08_09,0,1
13,2017,2,1,1545,21_22,0,0
14,2017,2,1,1545,08_09,0,0
20,2017,2,1,1545,9_10 ,0,0
21,2017,2,1,1545,10_11,0,1
23,2017,2,1,1545,10_11,0,0
