Year,Month,Day,Hour,Warehouse,Traffic_stream,total_count,total_sum
2023,3,4,10,6614,True,11,20323
2023,3,4,17,6614,False,1,7000
2023,3,4,15,6614,True,14,8880
2023,3,4,11,6614,True,6,4797
2023,3,4,14,6614,True,10,13268
2023,3,4,12,6614,True,12,15722
2023,3,4,11,6614,False,6,14965
2023,3,4,13,6614,True,10,12650
2023,3,4,14,6614,False,5,3305
2023,3,4,16,6614,True,6,7214
2023,3,4,17,6614,True,6,3328
2023,3,4,16,6614,False,1,728
2023,3,4,9,6614,True,8,8406
2023,3,5,9,6614,False,1,600
2023,3,5,9,6614,True,6,4257
2023,3,5,10,6614,True,9,7028
2023,3,5,11,6614,False,8,3658
2023,3,5,11,6614,True,10,8986
2023,3,5,12,6614,True,15,22274
2023,3,5,13,6614,False,19,4915
2023,3,5,13,6614,True,14,16796
2023,3,5,14,6614,False,1,1000
2023,3,5,14,6614,True,12,10005
2023,3,5,15,6614,True,8,5095
2023,3,5,16,6614,True,13,12860
2023,3,5,17,6614,True,10,8318
2023,3,6,16,6614,True,6,2103
2023,3,6,11,6614,True,13,14298
2023,3,6,11,6614,False,12,18500
2023,3,6,17,6614,True,9,3934
2023,3,6,9,6614,True,2,3912
2023,3,6,16,6614,False,2,5311
2023,3,6,20,6614,True,1,90
2023,3,6,15,6614,True,4,2077
2023,3,6,10,6614,True,2,15915
2023,3,6,19,6614,True,11,8284
2023,3,6,17,6614,False,1,500
2023,3,6,14,6614,False,14,28975
2023,3,6,8,6614,True,3,3118
2023,3,6,18,6614,True,7,8374
2023,3,6,9,6614,False,17,22718
2023,3,6,13,6614,True,9,10344
2023,3,6,19,6614,False,12,12927
2023,3,6,12,6614,True,10,13598
2023,3,6,13,6614,False,1,23500
2023,3,6,12,6614,False,15,22370
2023,3,6,14,6614,True,5,4797
2023,3,7,8,6614,True,3,922
2023,3,7,19,6614,True,18,27966
2023,3,7,13,6614,True,13,11566
2023,3,7,14,6614,False,3,2700
2023,3,7,14,6614,True,7,11612
2023,3,7,12,6614,True,15,17181
2023,3,7,20,6614,True,6,11946
2023,3,7,19,6614,False,3,985
2023,3,7,18,6614,True,19,27018
2023,3,7,10,6614,False,6,2046
2023,3,7,16,6614,True,12,16149
2023,3,7,17,6614,False,1,7000
2023,3,7,11,6614,True,2,1898
2023,3,7,12,6614,False,1,20148
2023,3,7,18,6614,False,48,61591
2023,3,7,15,6614,True,15,10312
2023,3,7,10,6614,True,6,8174
2023,3,7,13,6614,False,4,6087
2023,3,7,16,6614,False,6,3002
2023,3,7,9,6614,True,6,35631
2023,3,7,17,6614,True,13,13782
2023,3,8,11,6614,True,8,7887
2023,3,8,16,6614,True,14,33881
2023,3,8,14,6614,True,17,10787
2023,3,8,17,6614,False,2,865
2023,3,8,17,6614,True,17,15415
2023,3,8,11,6614,False,8,7804
2023,3,8,15,6614,True,7,14849
2023,3,8,14,6614,False,62,245294
2023,3,8,19,6614,True,4,9010
2023,3,8,8,6614,True,5,12828
2023,3,8,10,6614,False,11,5838
2023,3,8,9,6614,True,6,2680
2023,3,8,18,6614,True,12,24610
2023,3,8,13,6614,True,8,7121
2023,3,8,19,6614,False,1,1200
2023,3,8,12,6614,True,18,17327
2023,3,8,10,6614,True,11,8735
2023,3,8,9,6614,False,10,6320
2023,3,8,20,6614,True,3,1835
2023,3,9,15,6614,False,21,65451
2023,3,9,14,6614,True,9,14066
2023,3,9,8,6614,True,2,2670
2023,3,9,19,6614,True,6,3033
2023,3,9,17,6614,True,16,17851
2023,3,9,9,6614,False,5,10120
2023,3,9,20,6614,True,5,7280
2023,3,9,10,6614,False,6,13784
2023,3,9,14,6614,False,2,1390
2023,3,9,18,6614,True,12,27415
2023,3,9,10,6614,True,2,1200
2023,3,9,9,6614,True,5,12230
2023,3,9,17,6614,False,3,4670
2023,3,9,16,6614,False,1,2600
2023,3,9,11,6614,True,12,23627
2023,3,9,18,6614,False,120,165315
2023,3,9,13,6614,False,5,5100
2023,3,9,19,6614,False,3,1535
2023,3,9,16,6614,True,6,7781
2023,3,9,15,6614,True,19,19040
2023,3,9,12,6614,True,11,14713
2023,3,9,13,6614,True,5,3496
2023,3,9,12,6614,False,15,6132
2023,3,10,18,6614,False,10,16176
2023,3,10,11,6614,True,8,10589
2023,3,10,12,6614,False,1,650
2023,3,10,13,6614,False,3,980
2023,3,10,17,6614,False,14,8396
2023,3,10,10,6614,True,5,5539
2023,3,10,9,6614,False,17,12440
2023,3,10,10,6614,False,5,3343
2023,3,10,12,6614,True,17,26537
2023,3,10,14,6614,True,12,32963
2023,3,10,20,6614,True,1,340
2023,3,10,9,6614,True,9,5052
2023,3,10,19,6614,True,10,7459
2023,3,10,18,6614,True,8,9007
2023,3,10,15,6614,True,12,14882
2023,3,10,16,6614,False,1,550
2023,3,10,13,6614,True,12,16004
2023,3,10,16,6614,True,13,13754
2023,3,10,8,6614,True,5,5028
2023,3,10,17,6614,True,6,3262
2023,3,10,15,6614,False,50,58428
2021,11,30,12,6614,False,18,45707
2021,12,1,19,6614,False,1,400
2021,11,26,18,6614,True,10,4443
2021,12,25,11,6614,False,1,1400
2022,2,1,9,6614,False,6,5739
2021,10,30,11,6614,False,17,21483
2021,10,4,9,6614,True,14,9735
2022,1,21,18,6614,True,11,20065
2021,10,22,14,6614,False,23,32338
2022,2,7,11,6614,False,5,3880
2021,11,19,17,6614,True,15,16478
2022,1,11,19,6614,True,7,12598
2021,12,24,11,6614,True,15,35837
2021,12,12,15,6614,True,14,10965
2021,11,19,18,6614,True,13,37451
2021,12,13,15,6614,True,19,16016
2022,1,15,9,6614,True,5,8316
2021,11,17,11,6614,True,13,18551
2022,2,1,8,6614,True,3,1301
2022,1,4,11,6614,True,4,7325
2022,2,4,17,6614,True,12,8130
2021,12,29,12,6614,False,17,10849
2022,1,12,14,6614,False,1,1760
2021,12,2,14,6614,True,14,15530
2021,10,23,11,6614,False,19,17012
2021,10,18,12,6614,False,17,34187
2021,10,6,16,6614,False,3,10025
2022,2,1,17,6614,True,16,10460
2021,11,25,18,6614,True,16,7912
2021,10,26,20,6614,False,2,1776
2021,10,17,15,6614,True,13,8183
2021,10,6,19,6614,False,5,1940
2022,1,25,14,6614,True,11,6355
2021,12,3,19,6614,True,18,15112
2021,10,25,12,6614,True,7,11326
2021,11,26,17,6614,True,9,5052
2021,12,4,16,6614,False,1,1150
2021,11,25,19,6614,True,11,7042
2021,11,16,11,6614,False,20,26123
2021,10,26,15,6614,False,3,5357
2021,10,27,10,6614,False,3,51756
2021,11,26,16,6614,True,9,11484
2022,1,14,18,6614,False,4,2590
2022,1,14,17,6614,False,2,619
2022,1,18,14,6614,False,78,112187
2022,1,29,15,6614,True,11,5369
2021,10,21,14,6614,False,17,22404
2021,10,29,12,6614,True,8,5347
2021,11,11,9,6614,True,9,15921
2021,11,13,13,6614,False,30,12090
2021,11,3,12,6614,False,20,19759
2022,1,15,17,6614,True,9,8488
2021,11,23,20,6614,True,8,7960
2021,11,16,9,6614,False,3,4924
2022,1,14,8,6614,False,1,1896
2021,11,1,16,6614,True,6,5329
2021,10,22,15,6614,False,6,4494
